Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,Comments
Electroencephalographic slowing heralds mild cognitive impairment in idiopathic REM sleep behavior disorder,"Iranzo, Alex; Isetta, Valentina; Molinuevo, Jose Luis; Serradell, Monica; Navajas, Daniel; Farre, Ramon; Santamaria, Joan",2010,Sleep Medicine,"Idiopathic REM sleep behavior disorder, Power EEG spectral analysis, Mild cognitive impairment, REM sleep, Parkinson's disease, Dementia with Lewy bodies","Idiopathic REM sleep behavior disorder, Power EEG spectral analysis, Mild cognitive impairment, REM sleep, Parkinson's disease, Dementia with Lewy bodies",Other patients,Laboratory,Prognosis/Monitoring Disease Progression,Sleep topics,BioPotential,,EEG,,j.sleep.2010.03.006,Research Article,
"iTUG, a Sensitive and Reliable Measure of Mobility",A. Salarian; F. B. Horak; C. Zampieri; P. Carlson-Kuhta; J. G. Nutt; K. Aminian,2010,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Balance;gait;mobility;objective assessment;wearable sensors,Balance;gait;mobility;objective assessment;wearable sensors,10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Posture,Gait",Wearable,,"Accelerometer,Gyroscope",200,tnsre.2010.2047606,IEEE Journals & Magazines,
Ambulatory Monitoring of Activities and Motor Symptoms in Parkinson's Disease,D. G. M. Zwartjes; T. Heida; J. P. P. van Vugt; J. A. G. Geelen; P. H. Veltink,2010,IEEE Transactions on Biomedical Engineering,Activity classification;ambulatory monitoring;bradykinesia;Parkinson's disease (PD);tremor,Activity classification;ambulatory monitoring;bradykinesia;Parkinson's disease (PD);tremor,<=10,Laboratory,Prognosis/Monitoring Disease Progression,"Limb movements,Tremor,Bradykinesia and Dyskinesia",Wearable,Video Recording,"Accelerometer,Gyroscope,Video camera",50,tbme.2010.2049573,IEEE Journals & Magazines,
Measuring hand-arm steadiness for post-stroke and Parkinson's Disease patients using SIERRA framework,M. F. Alhamid; A. Alamri; A. El Saddik,2010,2010 IEEE International Workshop on Medical Measurements and Applications,hand steadiness;tremor;hand based rehabilitation;Augmented Reality,hand steadiness;tremor;hand based rehabilitation;Augmented Reality,Other patients,Laboratory,Prognosis/Monitoring Disease Progression,Limb movements,Wearable,,Accelerometer,100,memea.2010.5480224,IEEE Conferences,
Wearable Assistant for Parkinson's Disease Patients With the Freezing of gait Symptom,M. Bachlin; M. Plotnik; D. Roggen; I. Maidan; J. M. Hausdorff; N. Giladi; G. Troster,2010,IEEE Transactions on Information Technology in Biomedicine,Assistive cueing;context awareness;Freezing of gait (FOG);Parkinson's disease (PD);personal health assistant,Assistive cueing;context awareness;Freezing of gait (FOG);Parkinson's disease (PD);personal health assistant,10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Gait,Freezing of gait",Wearable,Cueing,"Accelerometer,Audio cue",256,titb.2009.2036165,IEEE Journals & Magazines,
Can an accelerometer enhance the utility of the Timed Up & Go Test when evaluating patients with Parkinson's disease?,"Weiss, Aner; Herman, Talia; Plotnik, Meir; Brozgol, Marina; Maidan, Inbal; Giladi, Nir; Gurevich, Tanya; Hausdorff, Jeffrey M.",2010,Medical Engineering & Physics,"Aging, Timed Up and Go, Accelerometer, Balance","Aging, Timed Up and Go, Accelerometer, Balance",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Gait,Balance",Wearable,,Accelerometer,256,j.medengphy.2009.10.015,Research Article,
Body and Visual Sensor Fusion for Motion Analysis in Ubiquitous Healthcare Systems,M. ElSayed; A. Alsebai; A. Salaheldin; N. E. Gayar; M. ElHelw,2010,2010 International Conference on Body Sensor Networks,human motion analysis;visual sensor networks;body sensor networks;sensor fusion;ubiquitous sensing,human motion analysis;visual sensor networks;body sensor networks;sensor fusion;ubiquitous sensing,uk,Laboratory,Prognosis/Monitoring Disease Progression,Gait,Wearable,Video Recording,"Accelerometer, Video camera",uk,bsn.2010.38,IEEE Conferences,
Classification of walking patterns in Parkinson's disease patients based on inertial sensor data,M. DjuriÃ„â€¡-JoviÃ„ÂiÃ„â€¡; N. S. JoviÃ„ÂiÃ„â€¡; I. MilovanoviÃ„â€¡; S. RadovanoviÃ„â€¡; N. KresojeviÃ„â€¡; M. B. PopoviÃ„â€¡,2010,10th Symposium on Neural Network Applications in Electrical Engineering,Freezing of gait;gait classification;accelerometers;gyroscopes;neural networks,Freezing of gait;gait classification;accelerometers;gyroscopes;neural networks,<=10,Laboratory,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,Video Recording,"Accelerometer,Gyroscope,Video camera",100,neurel.2010.5644040,IEEE Conferences,
Hilbert--Huang-Based Tremor Removal to Assess Postural Properties From Accelerometers,S. Mellone; L. Palmerini; A. Cappello; L. Chiari,2011,IEEE Transactions on Biomedical Engineering,Accelerometer;Hilbert--Huang transformation (HHT);Parkinson's disease (PD);posture;tremor,Accelerometer;Hilbert--Huang transformation (HHT);Parkinson's disease (PD);posture;tremor,10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Tremor,Posture",Wearable,,Accelerometer,100,tbme.2011.2116017,IEEE Journals & Magazines,
Feature Selection for Accelerometer-Based Posture Analysis in Parkinson's Disease,L. Palmerini; L. Rocchi; S. Mellone; F. Valzania; L. Chiari,2011,IEEE Transactions on Information Technology in Biomedicine,Accelerometer;Parkinson's disease (PD);feature selection;posture,Accelerometer;Parkinson's disease (PD);feature selection;posture,10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Tremor,Posture",Wearable,,Accelerometer,100,titb.2011.2107916,IEEE Journals & Magazines,
A Web-Based System for Home Monitoring of Patients With Parkinson's Disease Using Wearable Sensors,B. Chen; S. Patel; T. Buckley; R. Rednic; D. J. McClure; L. Shih; D. Tarsy; M. Welsh; P. Bonato,2011,IEEE Transactions on Biomedical Engineering,Body sensor network (BSN);home monitoring;Parkinson's disease (PD);telemedicine;wearable sensors,Body sensor network (BSN);home monitoring;Parkinson's disease (PD);telemedicine;wearable sensors,uk,Home,Prognosis/Monitoring Disease Progression,"Tremor,Bradykinesia and Dyskinesia",Wearable,,Accelerometer,100,tbme.2010.2090044,IEEE Journals & Magazines,
Comparison of methods for tremor frequency analysis for patients with Parkinson's disease,K. Niazmand; A. Kalaras; H. Dai; T. C. Lueth,2011,2011 4th International Conference on Biomedical Engineering and Informatics (BMEI),frequency analysis;tremor;peak detection;pattern recognition;Fast Fourier Transformation (FFT);Short Time Fourier Transform (STFT);power spectral density (PSD),frequency analysis;tremor;peak detection;pattern recognition;Fast Fourier Transformation (FFT);Short Time Fourier Transform (STFT);power spectral density (PSD),<=10,Laboratory,Prognosis/Monitoring Disease Progression,Tremor,Wearable,,Accelerometer,20,bmei.2011.6098449,IEEE Conferences,
Selection of optimal parameters for automatic analysis of speech disorders in Parkinson's disease,J. Mekyska; I. Rektorova; Z. Smekal,2011,2011 34th International Conference on Telecommunications and Signal Processing (TSP),Parkinson's disease;hypokinetic dysarthria;speech parameters,Parkinson's disease;hypokinetic dysarthria;speech parameters,20<n<=30,Laboratory,Prognosis/Monitoring Disease Progression,Speech topics,Audio Recording,,Microphone,,tsp.2011.6043700,IEEE Conferences,
Vowel Articulation in Parkinson's Disease,"Skodda, Sabine; Visser, Wenke; Schlegel, Uwe",2011,Journal of Voice,"Parkinson's disease, Vowel articulation, Hypokinetic dysarthria, Speech disorder, Speech rate","Parkinson's disease, Vowel articulation, Hypokinetic dysarthria, Speech disorder, Speech rate",>30,Laboratory,Prognosis/Monitoring Disease Progression,Speech topics,Audio Recording,,Microphone,,j.jvoice.2010.01.009,Research Article,
Clinical EEG in cognitively impaired patients with Parkinson's Disease,"Schlede, Nina; Zimmermann, Ronan; Ehrensperger, Michael M.; Gschwandtner, Ute; Hardmeier, Martin; Hatz, Florian; Monsch, Andreas U.; Naegelin, Yvonne; Fuhr, Peter",2011,Journal of the Neurological Sciences,"Parkinson's Disease, Mild Cognitive Impairment, Grand Total EEG, Mini Mental Status Examination, Clock Drawing Test, Dementia","Parkinson's Disease, Mild Cognitive Impairment, Grand Total EEG, Mini Mental Status Examination, Clock Drawing Test, Dementia",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"EEG abnormalities,Dementia",BioPotential,,EEG,,j.jns.2011.05.034,Research Article,
Slowing of M1 activity in Parkinson's disease during rest and movement -- An MEG study,"Vardy, Alistair N.; van Wegen, Erwin E. H.; Kwakkel, Gert; Berendse, Henk W.; Beek, Peter J.; Daffertshofer, Andreas",2011,Clinical Neurophysiology,"Parkinson's disease, Motor performance, MEG activity, Spectral power, Event-related analysis","Parkinson's disease, Motor performance, MEG activity, Spectral power, Event-related analysis",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,EEG abnormalities,BioPotential,,MEG,,j.clinph.2010.10.034,Research Article,
Quantitative measurement of motor symptoms in Parkinson's disease: A study with full-body motion capture data,S. Das; L. Trutoiu; A. Murai; D. Alcindor; M. Oh; F. De la Torre; J. Hodgins,2011,2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Parkinson's Disease (PD);movement disorder;motion capture (mocap);Support Vector Machine (SVM);deep brain stimulation (DBS);biomechanics and robotics,Parkinson's Disease (PD);movement disorder;motion capture (mocap);Support Vector Machine (SVM);deep brain stimulation (DBS);biomechanics and robotics,<=10,Laboratory,Prognosis/Monitoring Disease Progression,Limb movements,Motion Tracker,,Motion capture,,iembs.2011.6091674,IEEE Conferences,
Quantitative evaluation of Parkinson's disease using sensor based smart glove,K. Niazmand; K. Tonn; A. Kalaras; U. M. Fietzek; J. H. Mehrkens; T. C. Lueth,2011,2011 24th International Symposium on Computer-Based Medical Systems (CBMS),smart glove;accelerometer;touch sensor;force sensor;Parkinson's disease quantification;tremor;bradykinesia;rigidity,smart glove;accelerometer;touch sensor;force sensor;Parkinson's disease quantification;tremor;bradykinesia;rigidity,<=10,Laboratory,Prognosis/Monitoring Disease Progression,Limb movements,Wearable,,"Touch sensor,Accelerometer,Force sensor",20,cbms.2011.5999113,IEEE Conferences,
The instrumented Timed Up and Go test: Potential outcome measure for disease modifying therapies in Parkinson's disease,"Zampieri, Cris; Salarian, Arash; Carlson-Kuhta, Patricia; Aminian, Kamiar; Nutt, John G.; Horak, Fay B.",2011,"Journal of neurology, neurosurgery, and psychiatry","Parkinson's Disease,Timed Up and Go,inertial sensors,gait,postural transitions,untreated","Parkinson's Disease,Timed Up and Go,inertial sensors,gait,postural transitions,untreated",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Gait,Balance",Wearable,Wearable,"Accelerometer,Gyroscope",200,jnnp.2009.173740,research-article,
A new measure of movement symmetry in early Parkinson's disease patients using symbolic processing of inertial sensor data,A. Sant'Anna; A. Salarian; N. Wickstrom,2011,IEEE Transactions on Biomedical Engineering,Gyroscope;Parkinson's disease;symbolization;symmetry,Gyroscope;Parkinson's disease;symbolization;symmetry,10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,"Limb movements,Bradykinesia and Dyskinesia",Wearable,,Gyroscope,200,tbme.2011.2149521,IEEE Journals & Magazines,
Feasibility of home-based automated Parkinson's disease motor assessment,"Mera, Thomas O.; Heldman, Dustin A.; Espay, Alberto J.; Payne, Megan; Giuffrida, Joseph P.",2012,Journal of Neuroscience Methods,"Parkinson's disease, Home monitoring, Patient compliance, Tremor, Bradykinesia, Motion sensors","Parkinson's disease, Home monitoring, Patient compliance, Tremor, Bradykinesia, Motion sensors",<=10,Combined,Prognosis/Monitoring Disease Progression,"Tremor,Bradykinesia and Dyskinesia",Wearable,,"Accelerometer,Gyroscope",128,j.jneumeth.2011.09.019,Research Article,
WiiPD--Objective Home Assessment of Parkinson's Disease Using the Nintendo Wii Remote,J. Synnott; L. Chen; C. D. Nugent; G. Moore,2012,IEEE Transactions on Information Technology in Biomedicine,Motor assessment;Parkinson's disease (PD);tremor,Motor assessment;Parkinson's disease (PD);tremor,<=10,Home,Prognosis/Monitoring Disease Progression,"Tremor,Bradykinesia and Dyskinesia",Other,,"Accelerometer,IR-sensor",,titb.2012.2215878,IEEE Journals & Magazines,
An automated methodology for levodopa-induced dyskinesia: Assessment based on gyroscope and accelerometer signals,"Tsipouras, Markos G.; Tzallas, Alexandros T.; Rigas, George; Tsouli, Sofia; Fotiadis, Dimitrios I.; Konitsiotis, Spiros",2012,Artificial Intelligence in Medicine,"Wearable devices, Accelerometers, Gyroscopes, Classification, Levodopa-induced dyskinesia assessment, Parkinson's disease","Wearable devices, Accelerometers, Gyroscopes, Classification, Levodopa-induced dyskinesia assessment, Parkinson's disease",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,Bradykinesia and Dyskinesia,Wearable,,"Accelerometer,Gyroscope",uk,j.artmed.2012.03.003,Research Article,
Visual sampling during walking in people with Parkinson's disease and the influence of environment and dual-task,"Galna, Brook; Lord, Sue; Daud, Daniyal; Archibald, Neil; Burn, David; Rochester, Lynn",2012,Brain Research,"Eye movement, Saccades, Gait, Parkinson's disease","Eye movement, Saccades, Gait, Parkinson's disease",20<n<=30,Laboratory,Prognosis/Monitoring Disease Progression,"Gait,Saccades",BioPotential,Motion Tracker,"Motion capture,EOG",,j.brainres.2012.07.017,Research Article,
A vision-based regression model to evaluate Parkinsonian gait from monocular image sequences,"Chen, You-Yin; Cho, Chien-Wen; Lin, Sheng-Huang; Lai, Hsin-Yi; Lo, Yu-Chun; Chen, Shin-Yuan; Chang, Yuan-Jen; Huang, Wen-Tzeng; Chen, Chin-Hsing; Jaw, Fu-Shan; Tsang, Siny; Tsai, Sheng-Tsung",2012,Expert Systems with Applications,"Human motion analysis, Parkinsonian gait, Linear discriminant analysis (LDA), Classification, Regression","Human motion analysis, Parkinsonian gait, Linear discriminant analysis (LDA), Classification, Regression",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,Gait,Video Recording,,Video camera,,j.eswa.2011.07.042,Research Article,
Assessing the utility of Freezing of gait Questionnaires in Parkinson's Disease,"Shine, J. M.; Moore, S. T.; Bolitho, S. J.; Morris, T. R.; Dilda, V.; Naismith, S. L.; Lewis, S. J. G.",2012,Parkinsonism & Related Disorders,"Freezing of gait, Parkinson's Disease, Timed up-and-go task, New Freezing of gait Questionnaire, Freezing of gait Questionnaire","Freezing of gait, Parkinson's Disease, Timed up-and-go task, New Freezing of gait Questionnaire, Freezing of gait Questionnaire",20<n<=30,Home,Prognosis/Monitoring Disease Progression,Freezing of gait,Video Recording,,Video camera,,j.parkreldis.2011.08.002,Research Article,
Postural sway as a marker of progression in Parkinson's disease: A pilot longitudinal study,"Mancini, Martina; Carlson-Kuhta, Patricia; Zampieri, Cris; Nutt, John G.; Chiari, Lorenzo; Horak, Fay B.",2012,Gait & Posture,"Parkinson's disease progression, Posture, Accelerometry","Parkinson's disease progression, Posture, Accelerometry",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,Balance,Wearable,,"Accelerometer,Gyroscope",uk,j.gaitpost.2012.04.010,Research Article,
"Nonlinear dynamics, artificial neural networks and neuro-fuzzy classifier for automatic assessing of tremor severity",O. Geman,2013,2013 E-Health and Bioengineering Conference (EHB),Nonlinear Dynamics;Tremor;Adaptive Neuro-Fuzzy Classifier;Artificial Neural Networks,Nonlinear Dynamics;Tremor;Adaptive Neuro-Fuzzy Classifier;Artificial Neural Networks,,,Prognosis/Monitoring Disease Progression,Tremor,Motion Tracker,Other,"Accelerometer,Motion capture",,ehb.2013.6707282,IEEE Conferences,
Bayesian changepoint detection for the automatic assessment of fluency and articulatory disorders,"Cmejla, Roman; Rusz, Jan; Bergl, Petr; Vokral, Jan",2013,Speech Communication,"Changepoint detection, Speech pathology, Speech signal processing, Disfluency, Articulation disorder","Changepoint detection, Speech pathology, Speech signal processing, Disfluency, Articulation disorder",,,Prognosis/Monitoring Disease Progression,Speech topics,Audio Recording,,Microphone,,j.specom.2012.08.003,Research Article,
Analysis of subtle movements related to neurodegenerative diseases using wearable inertial sensors: A study in healthy subjects,M. Rigoberto; P. R. Otniel; A. Juan-Carlos; L. Daniel; M. Arturo,2013,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),Hands tremor;APAs;sway;inertial sensors,Hands tremor;APAs;sway;inertial sensors,,,Prognosis/Monitoring Disease Progression,"Posture,Balance,Tremor",Wearable,Wearable,"Accelerometer,Gyroscope",100,embc.2013.6610949,IEEE Conferences,
The Use of an Orientation Kalman Filter for the Static Postural Sway Analysis,"Al-Jawad, Ahmed; Barlit, Anton; Romanovas, Michailas; Traechtler, Martin; Manoli, Yiannos",2013,APCBEE Procedia,"kalman Filter, Inertial Sensors, Standing Balance Assessment","kalman Filter, Inertial Sensors, Standing Balance Assessment",,,Prognosis/Monitoring Disease Progression,"Posture,Balance",Wearable,,"Accelerometer,Gyroscope",400,j.apcbee.2013.08.018,Research Article,
SVM-based posture identification with a single waist-located triaxial accelerometer,"Rodriguez-Martin, Daniel; SamÃ , Albert; Perez-Lopez, Carlos; CatalÃ , Andreu; Cabestany, Joan; Rodriguez-Molinero, Alejandro",2013,Expert Systems with Applications,"Accelerometer, Support vector machines, Posture identification, Parkinson's Disease","Accelerometer, Support vector machines, Posture identification, Parkinson's Disease",,,Prognosis/Monitoring Disease Progression,Posture,Wearable,,Accelerometer,40,j.eswa.2013.07.028,Research Article,
Towards quantifying the impact of Parkinson's disease using GPS and lifespace assessment,D. Ireland; S. McBride; J. Liddle; H. Chenery,2013,2013 6th International Conference on Biomedical Engineering and Informatics,Prognostics and health management;cellular phones;health information management,Prognostics and health management;cellular phones;health information management,,,Prognosis/Monitoring Disease Progression,Activities of Daily Living,Smartphone,,GPS,,bmei.2013.6747004,IEEE Conferences,
The unstable bridge from stimulus processing to correct responding in Parkinson's disease,"Verleger, Rolf; Schroll, Henning; Hamker, Fred H.",2013,Neuropsychologia,"Action selection, Basal ganglia, Parkinson's disease, P300, N, N-120","Action selection, Basal ganglia, Parkinson's disease, P300, N, N-120",,,Prognosis/Monitoring Disease Progression,EEG abnormalities,BioPotential,,EEG,,j.neuropsychologia.2013.09.017,Research Article,
A Wearable Inertial Measurement Unit for Long-Term Monitoring in the Dependency Care Area,"RodrÃ­guez-MartÃ­n, Daniel; PÃ©rez-LÃ³pez, Carlos; SamÃ , Albert; Cabestany, Joan; CatalÃ , Andreu",2013,Sensors,"inertial sensors, hardware, firmware, autonomy, accelerometry, Parkinson's disease","inertial sensors, hardware, firmware, autonomy, accelerometry, Parkinson's disease",uk,uk,Prognosis/Monitoring Disease Progression,N/A,Wearable,,"Accelerometer,Gyroscope,Magnetometer",200,s131014079,Article,
Orthostatic myoclonus: An underrecognized cause of unsteadiness?,"Gasca-Salas, Carmen; Arcocha, Juan; Artieda, Julio; Pastor, Pau",2013,Parkinsonism & Related Disorders,"Myoclonus, Orthostatism, Surface EMG, Unsteadiness","Myoclonus, Orthostatism, Surface EMG, Unsteadiness",,,Prognosis/Monitoring Disease Progression,EMG abnormalities,BioPotential,,EMG,,j.parkreldis.2013.07.004,Research Article,
Detecting Mobility for Monitoring Patients with Parkinson's Disease at Home using RSSI in a Wireless Sensor Network,"Chakraborty, Suryadip; Ghosh, Saibal K.; Jamthe, Anagha; Agrawal, Dharma P.",2013,Procedia Computer Science,"Activity Monitoring, Freezing of gait (FoG), Parkinson's disease, Received Signal Strength Indicator (RSSI), Wireless Body Area Sensor Network (WBASN), Unicast","Activity Monitoring, Freezing of gait (FoG), Parkinson's disease, Received Signal Strength Indicator (RSSI), Wireless Body Area Sensor Network (WBASN), Unicast",uk,uk,Prognosis/Monitoring Disease Progression,"Bradykinesia and Dyskinesia,Freezing of gait",Other,,WSN,,j.procs.2013.06.132,Research Article,
Automatic and Objective Assessment of Alternating Tapping Performance in Parkinson's Disease,"Memedi, Mevludin; Khan, Taha; Grenholm, Peter; Nyholm, Dag; Westin, Jerker",2013,Sensors,"alternating tapping, touch-pad, handheld computer, telemedicine, Parkinson's disease, remote monitoring, automatic assessment, objective assessment, visual assessment","alternating tapping, touch-pad, handheld computer, telemedicine, Parkinson's disease, remote monitoring, automatic assessment, objective assessment, visual assessment",>30,Home,Prognosis/Monitoring Disease Progression,Limb movements,Other,,Touchscreen,,s131216965,Article,
Preliminary evaluation of SensHand V1 in assessing motor skills performance in Parkinson disease,F. Cavallo; D. Esposito; E. Rovini; M. Aquilano; M. C. Carrozza; P. Dario; C. Maremmani; P. Bongioanni,2013,2013 IEEE 13th International Conference on Rehabilitation Robotics (ICORR),Hand rehabilitation;hand motion recognition;smart gloves;Parkinson's disease,Hand rehabilitation;hand motion recognition;smart gloves;Parkinson's disease,,,Prognosis/Monitoring Disease Progression,Limb movements,Wearable,,"Gyroscope,Magnetometer",100,icorr.2013.6650466,IEEE Conferences,
Quantification of Motor Impairment in Parkinson's Disease Using an Instrumented Timed Up and Go Test,L. Palmerini; S. Mellone; G. Avanzolini; F. Valzania; L. Chiari,2013,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Accelerometer;classification;feature selection;Parkinson's disease;Timed Up and Go (TUG),Accelerometer;classification;feature selection;Parkinson's disease;Timed Up and Go (TUG),,,Prognosis/Monitoring Disease Progression,Limb movements,Wearable,,Accelerometer,100,tnsre.2012.2236577,IEEE Journals & Magazines,
Continuous Monitoring of Turning in Patients with Movement Disability,"El-Gohary, Mahmoud; Pearson, Sean; McNames, James; Mancini, Martina; Horak, Fay; Mellone, Sabato; Chiari, Lorenzo",2013,Sensors,"Parkinson's disease, movement disability, continuous monitoring, turning, inertial sensors, gyroscopes, accelerometers","Parkinson's disease, movement disability, continuous monitoring, turning, inertial sensors, gyroscopes, accelerometers",20<n<=30,Home,Prognosis/Monitoring Disease Progression,Gait,Wearable,Video Recording,"Accelerometer,Gyroscope,Magnetometer,Video camera",128,s140100356,Article,
A Novel Approach to Reducing Number of Sensing Units for Wearable Gait Analysis Systems,A. Salarian; P. R. Burkhard; F. J. G. Vingerhoets; B. M. Jolles; K. Aminian,2013,IEEE Transactions on Biomedical Engineering,Gait analysis;inertial systems;objective assessment;wearable sensors,Gait analysis;inertial systems;objective assessment;wearable sensors,,,Prognosis/Monitoring Disease Progression,Gait,Wearable,,Gyroscope,200,tbme.2012.2223465,IEEE Journals & Magazines,
Wireless Prototype Based on Pressure and Bending Sensors for Measuring Gate Quality,"Grenez, Florent; Villarejo, MarÃƒÂ­a Viqueira; Zapirain, BegoÃƒÂ±a GarcÃƒÂ­a; Zorrilla, Amaia MÃƒÂ©ndez",2013,"Sensors (Basel, Switzerland)","gait analysis,pressure sensors,bending sensors,Arduino,multiple sclerosis","gait analysis,pressure sensors,bending sensors,Arduino,multiple sclerosis",HC,Laboratory,Prognosis/Monitoring Disease Progression,Gait,Wearable,,"Accelerometer,Gyroscope",4.56,s130809679,research-article,
Automatic detection of Freezing of gait events in patients with Parkinson's disease,"Tripoliti, Evanthia E.; Tzallas, Alexandros T.; Tsipouras, Markos G.; Rigas, George; Bougia, Panagiota; Leontiou, Michael; Konitsiotis, Spiros; Chondrogiorgi, Maria; Tsouli, Sofia; Fotiadis, Dimitrios I.",2013,Computer Methods and Programs in Biomedicine,"Freezing of gait, Parkinson's disease, Classification","Freezing of gait, Parkinson's disease, Classification",10<n<=20,Laboratory,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,Wearable,"Accelerometer,Gyroscope",60,j.cmpb.2012.10.016,Research Article,
An Implementation of Wireless Sensor Network in Monitoring of Parkinson's Patients Using Received Signal Strength Indicator,A. Jamthe; S. Chakraborty; S. K. Ghosh; D. P. Agrawal,2013,2013 IEEE International Conference on Distributed Computing in Sensor Systems,Activity Monitoring;Freezing of gait (FoG);Parkinson's Disease (PD);Received Signal Strength Indicator (RSSI);Unicast;Wireless Body Area Sensor Network (WBASN),Activity Monitoring;Freezing of gait (FoG);Parkinson's Disease (PD);Received Signal Strength Indicator (RSSI);Unicast;Wireless Body Area Sensor Network (WBASN),,,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,,Force sensor,uk,dcoss.2013.28,IEEE Conferences,
"The late positive potential, emotion and apathy in Parkinson's disease","Dietz, J.; Bradley, M. M.; Jones, J.; Okun, M. S.; Perlstein, W. M.; Bowers, D.",2013,Neuropsychologia,"Parkinson's disease,ERP,Late positive potential,Apathy,Emotion","Parkinson's disease,ERP,Late positive potential,Apathy,Emotion",,,Prognosis/Monitoring Disease Progression,"Emotions,Depression",BioPotential,,EEG,,j.neuropsychologia.2013.01.001,research-article,
Cognitive decline in Parkinson's disease is associated with slowing of resting-state brain activity: a longitudinal study,"Dubbelink, Kim T. E. Olde; Stoffers, Diederick; Deijen, Jan Berend; Twisk, Jos W. R.; Stam, Cornelis J.; Berendse, Henk W.",2013,Neurobiology of Aging,"Parkinson's disease, Cognitive decline, Dementia, Magnetoencephalography (MEG), Oscillatory brain dynamics, Longitudinal","Parkinson's disease, Cognitive decline, Dementia, Magnetoencephalography (MEG), Oscillatory brain dynamics, Longitudinal",>30,Laboratory,Prognosis/Monitoring Disease Progression,Cognitive activity,BioPotential,,"EEG,MEG",,j.neurobiolaging.2012.02.029,Research Article,
Quantifying Timed-Up-and-Go test: A smartphone implementation,M. Milosevic; E. Jovanov; A. MilenkoviÃ„â€¡,2013,2013 IEEE International Conference on Body Sensor Networks,mobile computing;mobile sensing;health monitoring;timed-up-and-go test;mobility assessment;Parkinson's disease,mobile computing;mobile sensing;health monitoring;timed-up-and-go test;mobility assessment;Parkinson's disease,,,Prognosis/Monitoring Disease Progression,"Balance,Gait",Wearable,,"Accelerometer,Gyroscope,Magnetometer",100,bsn.2013.6575478,IEEE Conferences,
Multimodal monitoring for neurological disorders,T. H. Sanders; M. A. Clements,2014,2014 40th Annual Northeast Bioengineering Conference (NEBEC),Parkinson's disease;monitoring;movement disorder;tremor;bradykinesia;accelerometer;smartwatch,Parkinson's disease;monitoring;movement disorder;tremor;bradykinesia;accelerometer;smartwatch,,,Prognosis/Monitoring Disease Progression,"Tremor,Bradykinesia and Dyskinesia",Wearable,Smartphone,"Accelerometer,Gyroscope",100,nebec.2014.6972928,IEEE Conferences,
Dynamical Learning and Tracking of Tremor and Dyskinesia From Wearable Sensors,B. T. Cole; S. H. Roy; C. J. De Luca; S. H. Nawab,2014,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Accelerometer signals;dynamical machine learning;electromyographic (EMG) signals;Parkinson's disease (PD);tremor and dyskinesia,Accelerometer signals;dynamical machine learning;electromyographic (EMG) signals;Parkinson's disease (PD);tremor and dyskinesia,,,Prognosis/Monitoring Disease Progression,"Tremor,Bradykinesia and Dyskinesia",Wearable,Wearable,"Accelerometer,EMG",1000,tnsre.2014.2310904,IEEE Journals & Magazines,
Automatic assessment of Parkinson's Disease from natural hands movements using 3D depth sensor,B. Dror; E. Yanai; A. Frid; N. Peleg; N. Goldenthal; I. Schlesinger; H. Hel-Or; S. Raz,2014,2014 IEEE 28th Convention of Electrical & Electronics Engineers in Israel (IEEEI),Machine Learning;Support Vector Machine (SVM) classification;Parkinson's Disease;UPDRS,Machine Learning;Support Vector Machine (SVM) classification;Parkinson's Disease;UPDRS,,,Prognosis/Monitoring Disease Progression,"Tremor,Limb movements",Motion Tracker,,Motion capture,,eeei.2014.7005763,IEEE Conferences,
Surface EMG activity during REM sleep in Parkinson's disease correlates with disease severity,"Chahine, Lama M.; Kauta, Shilpa R.; Daley, Joseph T.; Cantor, Charles R.; Dahodwala, Nabila",2014,Parkinsonism & Related Disorders,"Parkinson's disease, REM sleep behavior disorder, REM sleep without atonia, Surface EMG activity","Parkinson's disease, REM sleep behavior disorder, REM sleep without atonia, Surface EMG activity",,,Prognosis/Monitoring Disease Progression,"Sleep topics,EMG abnormalities",BioPotential,,"EMG,PSG",,j.parkreldis.2014.04.011,Research Article,
